Credit Score,Income,Loan Eligible
342,58.6,No
679,19.7,No
312,128.9,No
408,70.7,No
770,109.0,Yes
834,145.2,Yes
795,75.1,Yes
574,55.1,No
388,49.0,No
775,89.8,Yes
644,14.0,No
486,78.3,No
564,57.6,No
582,87.8,Yes
495,22.0,No
800,87.7,Yes
787,100.4,Yes
317,23.0,No
549,52.9,No
784,87.5,Yes
638,59.3,Yes
613,45.2,No
497,54.2,No
489,36.8,No
583,111.4,Yes
837,93.6,Yes
498,51.5,No
609,12.0,No
580,16.4,No
599,107.6,Yes
802,24.4,Yes
591,75.7,No
488,145.2,Yes
789,26.0,Yes
803,20.4,Yes
354,31.2,No
611,21.9,No
726,94.9,Yes
531,118.6,Yes
753,51.6,Yes
739,52.8,Yes
401,142.7,No
516,47.1,No
545,34.3,No
302,67.2,No
781,50.8,Yes
589,108.4,Yes
539,139.3,Yes
502,69.5,No
452,137.2,Yes
373,18.3,No
595,71.5,No
611,108.0,Yes
812,85.6,Yes
340,134.5,No
556,13.6,No
321,149.9,No
575,90.7,Yes
479,75.9,No
584,35.4,No
803,145.7,Yes
718,56.7,Yes
464,56.2,No
595,102.8,Yes
337,73.7,No
631,26.2,No
826,125.5,Yes
773,67.9,Yes
670,97.2,Yes
752,116.4,Yes
434,139.9,Yes
796,27.0,Yes
545,109.4,Yes
314,87.3,No
416,74.6,No
457,79.8,No
821,108.8,Yes
794,147.2,Yes
448,63.7,No
820,114.5,Yes
371,48.7,No
724,57.6,Yes
573,124.9,Yes
605,127.2,Yes
801,131.1,Yes
795,58.3,Yes
686,73.7,Yes
493,147.3,Yes
692,42.7,Yes
344,54.5,No
690,64.1,Yes
455,79.3,No
814,145.1,Yes
402,132.4,No
838,137.5,Yes
447,67.4,No
458,20.5,No
571,57.4,No
382,129.2,No
846,63.2,Yes
799,132.1,Yes
370,42.9,No
594,149.6,Yes
744,147.0,Yes
402,72.1,No
329,16.4,No
600,60.2,No
550,84.4,No
484,33.8,No
691,96.8,Yes
446,42.5,No
770,45.7,Yes
776,136.2,Yes
461,20.3,No
606,99.5,Yes
556,74.0,No
693,129.5,Yes
690,90.1,Yes
602,13.1,No
705,48.4,Yes
350,137.5,No
593,118.6,Yes
660,40.7,No
556,104.9,Yes
440,98.0,No
340,53.3,No
673,112.5,Yes
602,55.7,No
505,28.5,No
674,84.3,Yes
468,46.0,No
793,145.4,Yes
646,122.6,Yes
377,29.7,No
706,145.4,Yes
674,22.6,No
570,85.1,Yes
568,91.8,Yes
680,25.2,No
325,96.7,No
635,138.1,Yes
364,99.0,No
609,100.9,Yes
346,142.5,No
804,26.3,Yes
850,29.0,Yes
729,92.2,Yes
724,101.7,Yes
717,141.5,Yes
679,40.4,No
541,129.8,Yes
676,86.2,Yes
667,18.5,No
425,142.9,Yes
393,102.8,No
321,17.1,No
428,120.2,No
512,92.1,Yes
538,56.0,No
302,48.8,No
433,85.6,No
412,102.5,No
315,60.2,No
631,12.2,No
429,113.8,No
365,76.7,No
825,93.1,Yes
526,142.4,Yes
833,52.2,Yes
331,18.5,No
711,69.7,Yes
754,20.3,No
451,19.2,No
632,63.3,Yes
601,73.5,Yes
401,121.0,No
520,70.2,No
723,57.5,Yes
725,112.1,Yes
620,103.1,Yes
456,106.2,No
393,126.4,No
398,114.2,No
433,87.9,No
637,103.8,Yes
733,131.5,Yes
594,94.1,Yes
819,39.8,Yes
529,128.6,Yes
676,26.1,No
531,123.0,Yes
326,95.3,No
573,14.1,No
616,139.0,Yes
485,131.8,Yes
710,19.7,Yes
331,22.8,No
685,68.8,Yes
678,53.6,Yes
386,133.7,No
350,104.4,No
734,78.0,Yes
579,40.2,No
653,70.2,Yes
798,83.8,Yes
525,65.3,No
307,38.6,No
440,117.0,No
422,11.1,No
479,28.1,No
535,80.0,Yes
662,20.1,No
343,71.1,No
379,130.7,No
714,109.3,Yes
417,66.7,No
475,122.2,Yes
670,22.3,No
549,71.0,No
380,65.4,No
647,41.0,Yes
378,81.5,No
822,37.1,Yes
659,111.8,Yes
451,43.1,No
502,34.3,No
377,34.8,No
805,75.0,Yes
759,105.4,Yes
630,131.0,Yes
454,71.6,No
610,121.5,Yes
660,81.0,Yes
762,15.3,No
593,20.7,No
392,96.1,No
773,91.2,Yes
342,73.0,No
492,55.0,No
454,144.1,Yes
651,147.5,Yes
476,15.5,No
749,83.4,Yes
672,62.2,Yes
718,118.4,Yes
353,120.5,No
367,56.2,No
695,49.8,Yes
453,56.7,No
444,138.3,No
701,28.1,Yes
386,53.3,No
636,123.8,Yes
839,23.1,Yes
820,60.7,Yes
484,143.2,Yes
797,36.9,Yes
458,20.8,No
403,81.1,No
839,15.3,Yes
434,93.6,No
485,126.4,Yes
469,111.0,No
673,104.7,Yes
754,95.5,Yes
759,42.8,Yes
780,136.6,Yes
751,74.6,Yes
691,80.4,Yes
465,124.4,Yes
441,132.2,No
792,132.4,Yes
405,109.6,No
427,49.9,No
579,72.9,No
747,22.8,Yes
761,133.8,Yes
724,17.5,No
541,64.1,No
529,13.9,No
643,120.8,Yes
593,138.4,Yes
442,116.2,No
305,136.8,No
520,126.9,Yes
840,69.3,Yes
543,52.2,No
729,99.5,Yes
364,25.5,No
848,12.3,Yes
547,110.6,Yes
301,96.1,No
726,36.2,Yes
836,146.5,Yes
838,86.2,Yes
819,87.6,Yes
781,16.1,Yes
682,45.5,No
369,58.3,No
406,118.0,No
640,28.7,No
646,123.9,Yes
775,147.3,Yes
486,123.6,No
768,15.2,No
504,134.0,Yes
617,82.2,Yes
784,45.5,Yes
495,50.1,No
348,131.2,No
427,121.9,No
709,114.1,Yes
695,57.5,Yes
809,61.4,Yes
573,122.2,Yes
380,70.3,No
484,86.4,No
381,55.9,No
756,94.4,Yes
754,59.2,Yes
661,96.1,Yes
358,20.5,No
672,81.8,Yes
463,143.4,Yes
748,14.9,No
675,60.7,Yes
333,94.7,No
679,62.1,Yes
440,84.1,No
585,44.9,No
490,79.9,No
420,46.6,No
756,40.0,Yes
802,38.0,Yes
375,73.3,No
755,149.6,Yes
627,103.5,Yes
597,134.8,Yes
478,121.1,Yes
424,147.9,Yes
542,120.7,Yes
677,75.4,Yes
432,95.7,No
616,65.7,Yes
790,83.6,Yes
375,27.5,No
375,73.0,No
652,28.0,No
486,117.5,No
814,137.5,Yes
427,82.5,No
465,55.2,No
654,142.6,Yes
590,128.4,Yes
581,27.5,No
846,23.1,Yes
457,34.0,No
645,128.0,Yes
329,21.4,No
571,101.2,Yes
726,96.5,Yes
596,99.9,Yes
550,122.7,Yes
604,73.5,Yes
461,71.5,No
508,57.6,No
626,112.8,Yes
708,28.3,No
408,54.7,No
573,72.9,No
351,50.6,No
728,44.8,Yes
463,123.9,Yes
620,36.6,No
827,75.4,Yes
809,13.2,Yes
817,74.0,Yes
661,16.8,No
781,50.0,Yes
410,70.3,No
674,116.9,Yes
710,17.2,No
671,87.5,Yes
816,73.0,Yes
421,28.0,No
682,121.3,Yes
674,115.7,Yes
821,66.2,Yes
339,29.2,No
785,82.7,Yes
827,29.6,Yes
626,32.8,No
606,93.1,Yes
821,84.5,Yes
606,76.5,No
639,104.3,Yes
615,121.5,Yes
327,93.6,No
533,111.0,Yes
474,83.4,No
689,30.7,Yes
332,90.2,No
495,12.7,No
455,67.8,No
813,118.5,Yes
363,108.8,No
632,149.7,Yes
685,53.9,No
845,57.9,Yes
570,95.4,No
552,49.1,No
604,118.0,Yes
800,54.4,Yes
580,50.3,No
688,135.4,Yes
653,143.6,Yes
597,15.9,No
380,58.5,No
562,114.6,Yes
577,140.6,Yes
440,25.3,No
545,43.9,No
843,41.6,Yes
402,67.9,No
402,105.4,No
461,67.0,No
787,76.8,Yes
594,55.0,No
391,101.3,No
338,137.9,No
480,140.7,No
706,120.3,Yes
596,132.7,Yes
409,140.0,No
765,148.5,Yes
805,134.5,Yes
816,75.5,Yes
415,56.3,No
563,110.6,No
645,120.7,Yes
497,34.6,No
715,125.8,Yes
388,66.1,No
443,76.8,No
306,46.5,No
573,143.6,Yes
311,46.6,No
541,18.7,No
614,32.4,No
618,106.6,Yes
602,61.5,No
436,76.9,No
682,68.2,Yes
782,116.0,Yes
523,116.7,Yes
383,83.6,No
670,20.9,No
363,126.0,No
507,90.2,No
635,129.6,Yes
510,110.4,Yes
822,72.4,Yes
435,81.9,No
359,88.2,No
615,111.3,Yes
303,114.4,No
346,69.3,No
361,140.8,No
783,14.4,Yes
438,117.2,Yes
730,62.4,Yes
759,131.7,Yes
684,21.2,Yes
436,101.5,No
482,149.0,Yes
430,111.9,No
303,115.9,No
774,104.3,Yes
844,63.1,Yes
771,58.5,Yes
415,14.5,No
316,43.7,No
334,72.5,No
349,44.3,No
749,42.8,Yes
357,29.6,No
539,124.2,Yes
626,90.8,Yes
628,43.2,Yes
833,40.9,Yes
362,87.9,No
479,97.6,No
807,16.6,Yes
690,120.0,Yes
726,67.2,Yes
488,115.6,Yes
530,52.1,No
774,138.1,Yes
726,88.0,Yes
548,45.7,No
380,139.1,Yes
394,85.0,No
352,47.6,No
340,132.3,No
522,77.1,No
640,52.4,Yes
516,141.2,Yes
420,114.6,No
548,107.4,Yes
706,138.1,Yes
589,63.3,No
667,53.2,Yes
809,75.2,Yes
780,116.6,Yes
508,61.9,No
526,113.8,No
727,51.3,Yes
535,63.2,No
811,87.1,Yes
645,46.0,Yes
802,74.5,Yes
660,33.7,No
800,35.8,Yes
360,83.4,No
376,142.3,No
306,67.7,No
536,19.5,No
523,80.8,No
794,102.3,Yes
844,87.2,Yes
842,111.1,Yes
593,12.4,No
740,122.9,Yes
409,138.5,No
546,36.9,No
662,47.4,No
682,144.3,Yes
549,148.6,Yes
382,101.5,No
332,23.1,No
787,17.9,No
475,21.6,No
639,89.2,Yes
397,135.3,Yes
535,39.6,No
786,48.0,Yes
587,135.9,Yes
333,35.1,No
316,144.6,No
707,140.0,Yes
546,89.3,Yes
639,63.7,Yes
380,80.1,No
354,23.7,No
377,57.7,No
706,145.6,Yes
579,119.7,Yes
533,59.8,No
742,36.0,Yes
689,22.0,No
552,109.8,No
457,63.2,No
457,113.6,No
409,22.8,No
755,60.4,Yes
435,22.2,No
824,67.1,Yes
662,87.6,Yes
632,130.9,Yes
723,64.3,Yes
548,90.1,No
689,33.7,No
574,79.0,No
745,48.6,Yes
378,60.6,No
807,93.1,Yes
409,29.0,No
705,56.5,Yes
637,71.6,Yes
439,52.1,No
505,77.1,No
707,145.6,Yes
802,145.5,Yes
633,62.6,Yes
702,61.1,Yes
504,92.9,No
327,143.4,No
514,71.4,No
370,124.7,No
718,104.2,Yes
610,43.9,No
733,120.5,Yes
790,91.5,Yes
728,86.1,Yes
668,108.2,Yes
387,25.3,No
663,33.3,No
709,145.4,Yes
740,24.8,No
527,81.5,No
526,72.4,No
812,31.1,Yes
794,24.6,Yes
387,26.2,No
445,58.8,No
511,83.0,No
399,71.3,No
626,19.4,No
417,13.2,No
411,104.8,No
549,82.2,No
638,88.4,Yes
537,121.7,Yes
490,99.7,No
329,113.2,No
760,92.9,Yes
519,38.8,No
364,90.8,No
849,36.2,Yes
768,26.0,Yes
801,83.9,Yes
697,95.6,Yes
656,59.3,Yes
476,123.9,Yes
604,138.6,Yes
437,53.8,No
419,35.6,No
823,64.4,Yes
692,69.2,Yes
850,107.1,Yes
477,87.7,No
443,36.2,No
354,131.2,No
796,29.1,Yes
817,101.4,Yes
803,68.2,Yes
800,33.4,Yes
525,50.9,No
850,50.4,Yes
807,87.0,Yes
416,47.5,No
675,85.9,Yes
751,86.5,Yes
404,113.0,No
553,51.7,No
760,46.8,Yes
389,71.5,No
542,39.4,No
659,130.5,Yes
738,33.2,No
511,123.9,Yes
659,84.5,Yes
472,55.3,No
596,90.2,Yes
826,148.0,Yes
397,29.0,No
721,138.6,Yes
429,108.2,No
449,109.6,No
702,78.5,Yes
575,97.9,Yes
377,98.7,No
395,66.4,No
677,73.7,Yes
302,131.6,No
395,112.3,No
666,129.0,Yes
707,40.5,Yes
516,79.3,No
590,57.3,No
796,120.4,Yes
349,16.4,No
770,12.3,Yes
461,71.8,No
738,38.3,Yes
435,133.5,No
580,23.1,No
384,62.1,No
469,17.3,No
539,70.1,No
397,10.2,No
435,93.1,No
755,11.3,Yes
423,148.3,Yes
435,76.9,No
391,112.3,No
620,61.5,No
691,118.3,Yes
436,99.8,No
370,84.3,No
468,71.6,No
455,138.8,Yes
753,130.4,Yes
402,29.6,No
693,59.2,Yes
443,44.7,No
554,87.5,Yes
591,119.1,Yes
608,38.8,No
493,114.7,No
355,119.7,No
545,79.3,No
811,99.3,Yes
312,148.2,No
435,64.2,No
730,61.2,Yes
782,143.6,Yes
317,92.2,No
520,15.6,No
707,80.9,Yes
813,117.4,Yes
711,21.5,No
456,48.8,No
823,138.9,Yes
459,85.1,No
367,53.4,No
544,18.1,No
744,26.2,Yes
356,53.3,No
479,26.7,No
311,32.9,No
835,82.4,Yes
565,33.4,No
575,112.6,Yes
330,56.9,No
836,18.9,Yes
378,79.5,No
356,79.9,No
676,32.0,Yes
418,42.0,No
345,130.2,No
347,76.0,No
453,35.1,No
336,87.4,No
729,41.4,Yes
627,48.0,No
681,26.7,No
353,35.1,No
347,143.6,No
776,131.2,Yes
618,55.8,No
308,61.6,No
611,113.5,Yes
677,92.8,Yes
500,112.5,Yes
551,31.1,No
324,42.6,No
309,143.1,No
685,128.9,Yes
406,38.7,No
729,78.9,Yes
445,109.6,No
537,135.6,Yes
681,74.2,Yes
397,80.8,No
703,20.5,No
745,102.7,Yes
598,46.5,No
702,108.1,Yes
625,73.4,No
507,29.1,No
411,31.8,No
777,54.0,Yes
666,145.0,Yes
615,74.9,Yes
392,32.1,No
341,40.1,No
451,22.8,No
664,65.5,No
606,46.4,Yes
331,143.3,No
555,23.3,No
443,27.0,No
527,28.3,No
681,106.1,Yes
386,91.5,No
376,13.1,No
754,123.3,Yes
639,27.2,No
351,33.5,No
704,79.5,Yes
736,34.2,No
491,48.5,No
452,14.9,No
551,100.6,Yes
790,18.5,Yes
440,68.7,No
838,44.9,Yes
319,148.5,No
667,77.2,Yes
652,137.8,Yes
697,47.9,No
524,14.1,No
587,18.2,No
842,60.0,Yes
538,146.4,Yes
546,47.3,No
357,117.0,No
697,59.7,Yes
477,34.7,No
667,138.0,Yes
660,142.7,Yes
492,127.1,Yes
804,85.9,Yes
338,22.6,No
524,12.8,No
639,138.5,Yes
433,57.7,No
631,18.3,No
445,118.4,Yes
673,144.5,Yes
705,92.0,Yes
630,29.1,No
747,120.9,Yes
