Study Hours,Attendance,Result
7.3,77.2,Pass
9.6,60.3,Pass
4.2,57.9,Fail
10.7,44.3,Fail
6.1,80.7,Pass
3.2,43.5,Fail
5.9,80.8,Pass
1.9,46.2,Fail
6.5,64.5,Pass
8.7,71.5,Pass
9.9,52.8,Fail
4.2,72.0,Fail
2.1,82.6,Fail
1.9,91.1,Fail
10.9,80.8,Pass
9.3,94.2,Pass
10.9,98.2,Pass
11.3,96.2,Pass
0.1,61.1,Fail
7.3,85.3,Pass
1.9,95.8,Fail
10.6,52.4,Pass
6.7,86.5,Pass
10.6,61.7,Pass
4.9,50.7,Fail
9.8,61.7,Pass
0.3,65.4,Fail
0.3,79.9,Fail
1.3,95.7,Fail
10.7,70.8,Pass
2.9,65.5,Fail
9.3,85.1,Pass
3.0,65.8,Fail
5.9,55.9,Fail
5.5,42.1,Fail
7.0,88.2,Pass
8.8,99.6,Pass
4.7,40.2,Fail
7.0,74.6,Pass
2.4,53.6,Fail
9.7,69.0,Pass
4.4,89.6,Pass
5.5,63.4,Fail
7.2,81.6,Pass
9.0,62.5,Pass
9.4,87.6,Pass
2.4,90.9,Pass
0.9,58.5,Fail
1.8,89.9,Fail
8.2,57.7,Fail
2.5,69.9,Fail
2.6,81.2,Fail
7.8,62.1,Fail
1.7,43.5,Fail
5.0,47.4,Fail
7.9,41.3,Fail
7.1,66.6,Pass
11.5,62.4,Pass
7.6,61.9,Fail
9.1,78.1,Pass
6.2,53.4,Fail
0.2,78.6,Fail
2.7,75.2,Fail
1.0,69.4,Fail
9.6,59.6,Pass
2.6,42.9,Fail
1.8,77.5,Fail
2.7,46.7,Fail
1.4,64.3,Fail
2.4,82.0,Fail
1.0,54.6,Fail
1.2,52.2,Fail
9.8,71.2,Pass
0.1,58.2,Fail
11.0,61.5,Pass
0.4,69.9,Fail
9.3,74.8,Pass
11.1,44.8,Pass
9.3,83.2,Pass
2.0,60.5,Fail
7.9,63.4,Pass
0.6,57.2,Fail
3.9,87.6,Pass
1.8,58.5,Fail
7.9,66.6,Pass
4.5,91.9,Pass
8.3,77.7,Pass
6.7,61.8,Fail
5.9,58.3,Fail
2.2,94.8,Fail
2.4,41.9,Fail
10.4,60.2,Pass
2.8,79.0,Fail
8.8,71.7,Pass
3.4,75.7,Fail
8.3,68.8,Pass
10.7,90.8,Pass
8.2,86.3,Pass
11.6,92.7,Pass
12.0,59.7,Pass
11.7,50.0,Pass
7.5,56.4,Fail
9.5,76.8,Pass
9.5,92.3,Pass
9.9,98.7,Pass
8.4,70.8,Pass
7.9,65.8,Pass
3.5,47.8,Fail
1.6,40.2,Fail
5.5,85.8,Fail
7.6,46.7,Fail
3.5,66.8,Fail
5.0,63.5,Fail
1.4,60.9,Fail
10.0,98.8,Pass
7.5,58.8,Pass
10.2,48.1,Pass
11.2,61.1,Pass
9.8,56.7,Pass
0.0,60.4,Fail
4.2,52.8,Fail
9.6,50.4,Pass
6.7,91.0,Pass
7.5,50.1,Fail
1.2,95.7,Fail
3.0,53.0,Fail
9.5,91.3,Pass
8.8,54.6,Pass
3.7,66.0,Fail
12.0,45.0,Pass
11.0,67.7,Pass
9.4,51.2,Pass
11.8,92.8,Pass
1.0,82.9,Fail
10.9,50.0,Pass
1.4,88.3,Fail
0.4,58.6,Fail
7.6,77.8,Pass
11.4,97.9,Pass
6.9,61.8,Pass
4.8,66.4,Fail
2.2,57.9,Fail
2.7,44.1,Fail
1.9,64.7,Fail
3.1,61.1,Fail
1.4,72.0,Fail
0.9,52.1,Fail
4.1,57.5,Fail
7.9,68.4,Pass
8.2,58.9,Pass
8.9,72.1,Pass
7.6,95.7,Pass
8.1,98.6,Pass
10.9,45.7,Pass
3.2,85.0,Fail
6.4,54.9,Fail
10.4,78.6,Pass
1.4,57.6,Fail
2.4,72.3,Fail
6.1,73.3,Pass
9.4,54.2,Pass
5.0,81.0,Pass
3.1,81.5,Fail
0.2,57.5,Fail
2.4,80.2,Fail
11.2,77.8,Pass
5.9,75.2,Pass
0.7,61.7,Fail
4.1,65.7,Fail
8.1,97.4,Pass
2.2,60.1,Fail
2.7,86.3,Fail
7.1,83.3,Pass
1.0,97.4,Pass
5.8,91.6,Pass
2.0,63.8,Fail
5.6,42.5,Fail
2.2,75.2,Fail
5.4,64.2,Pass
4.1,80.3,Fail
6.2,50.8,Fail
4.0,46.9,Fail
7.8,72.9,Pass
5.7,45.0,Fail
4.8,85.1,Pass
6.3,55.0,Fail
6.0,59.1,Fail
4.8,79.4,Pass
9.1,93.0,Pass
4.9,78.7,Fail
9.5,82.5,Pass
5.7,56.3,Fail
5.1,86.9,Pass
9.3,62.8,Pass
11.3,94.3,Pass
4.3,87.3,Pass
3.4,66.8,Fail
1.1,56.4,Fail
10.9,96.8,Pass
9.5,98.3,Pass
2.7,55.6,Fail
1.7,72.8,Fail
2.4,77.7,Fail
11.6,70.8,Pass
10.8,85.1,Pass
9.6,63.9,Pass
11.6,69.6,Pass
2.7,56.6,Fail
2.0,83.8,Fail
7.2,75.9,Pass
6.8,95.6,Pass
1.1,75.0,Fail
11.9,95.3,Pass
10.0,54.7,Pass
4.6,60.7,Fail
5.7,79.2,Fail
6.5,47.7,Fail
6.6,75.4,Pass
8.5,82.6,Pass
7.0,56.2,Fail
0.6,84.6,Fail
8.6,47.9,Pass
2.0,42.2,Fail
10.2,63.3,Pass
9.5,98.7,Pass
8.3,86.9,Pass
4.2,68.5,Fail
3.0,69.1,Fail
10.2,54.6,Pass
2.6,49.4,Fail
7.8,78.4,Pass
2.0,71.8,Fail
3.1,95.1,Fail
3.1,42.4,Fail
7.9,53.4,Pass
7.6,52.1,Pass
10.2,58.8,Pass
1.6,60.9,Fail
11.5,57.9,Pass
2.5,89.2,Fail
10.2,60.5,Pass
10.5,56.0,Pass
7.6,74.7,Pass
7.8,58.9,Fail
0.1,76.3,Fail
9.6,49.4,Pass
5.4,71.5,Pass
6.2,66.1,Pass
1.8,92.4,Fail
0.5,68.9,Fail
11.7,65.6,Pass
11.2,57.1,Pass
3.0,68.2,Fail
0.8,60.1,Fail
4.1,50.5,Fail
5.2,81.7,Pass
9.7,70.7,Pass
9.8,83.3,Pass
7.3,62.6,Fail
10.6,88.4,Pass
10.3,73.1,Pass
5.7,98.8,Pass
4.5,74.3,Pass
6.2,87.4,Pass
8.1,87.8,Pass
0.2,79.4,Fail
3.6,46.9,Fail
2.0,83.2,Fail
2.5,81.7,Fail
0.9,76.9,Fail
7.5,44.6,Fail
0.9,93.5,Fail
7.3,48.0,Fail
10.8,51.9,Pass
10.2,99.5,Pass
7.7,60.7,Pass
3.7,77.4,Fail
11.9,87.2,Pass
2.1,61.4,Fail
8.6,55.6,Pass
5.4,58.3,Fail
5.2,98.8,Pass
10.8,78.2,Pass
0.9,78.8,Fail
4.2,82.8,Pass
1.1,91.6,Fail
5.8,85.7,Pass
10.2,62.1,Pass
1.8,73.1,Fail
10.4,83.3,Pass
9.7,60.9,Pass
1.2,61.0,Fail
8.8,47.8,Pass
7.2,66.8,Fail
5.4,73.8,Fail
11.7,61.7,Pass
3.4,62.4,Fail
10.2,44.3,Pass
7.2,68.8,Pass
5.8,43.8,Fail
5.2,86.0,Pass
5.0,79.2,Fail
6.6,51.7,Fail
6.5,79.2,Pass
9.5,99.3,Pass
11.4,66.7,Pass
5.5,95.3,Pass
9.7,58.1,Pass
2.4,80.3,Fail
0.8,40.2,Fail
4.1,42.5,Fail
1.2,88.9,Fail
7.3,95.6,Pass
2.6,87.2,Fail
5.3,61.4,Fail
11.3,96.9,Pass
11.7,47.9,Pass
10.0,54.8,Pass
5.6,98.4,Pass
1.6,52.3,Fail
9.8,48.4,Pass
4.5,83.6,Pass
10.3,69.4,Pass
6.7,91.1,Pass
9.9,66.8,Pass
4.3,53.7,Fail
11.5,75.4,Pass
2.2,62.2,Fail
4.6,40.5,Fail
1.5,79.5,Fail
3.5,56.2,Fail
6.5,98.8,Pass
2.9,93.8,Fail
8.0,83.3,Pass
0.3,85.5,Fail
8.3,68.0,Pass
6.3,46.6,Fail
0.4,70.9,Fail
3.4,53.3,Fail
0.3,47.6,Fail
0.4,83.0,Fail
7.1,58.3,Pass
9.7,64.3,Pass
11.0,49.4,Pass
7.4,74.0,Pass
7.1,45.4,Fail
4.2,53.3,Fail
8.6,65.3,Pass
4.7,96.5,Pass
6.1,65.4,Pass
1.6,72.8,Fail
7.5,54.0,Fail
11.8,46.2,Pass
11.6,66.9,Pass
6.0,97.8,Pass
9.0,86.8,Pass
7.2,48.9,Fail
6.3,57.9,Fail
6.3,53.8,Fail
0.1,88.1,Fail
10.8,76.4,Pass
2.6,91.4,Pass
11.5,75.4,Pass
10.7,80.0,Pass
7.2,60.6,Pass
6.6,92.0,Pass
9.1,52.2,Pass
1.0,60.1,Fail
3.6,87.6,Fail
11.0,95.3,Pass
2.9,57.4,Fail
7.4,95.6,Pass
1.0,89.3,Fail
10.7,51.2,Pass
5.7,76.4,Pass
9.9,64.9,Pass
9.5,55.4,Pass
10.5,92.9,Pass
4.1,60.6,Fail
10.0,42.9,Fail
0.3,67.4,Fail
0.8,55.1,Fail
8.4,61.4,Fail
8.3,94.0,Pass
0.8,64.4,Fail
0.7,48.3,Fail
9.1,67.1,Pass
6.6,46.0,Fail
0.7,96.2,Fail
5.7,89.3,Pass
4.7,87.6,Pass
2.3,72.2,Fail
9.8,97.8,Pass
0.7,70.2,Fail
11.5,57.5,Pass
10.5,65.5,Pass
1.9,66.7,Fail
5.6,51.1,Fail
4.3,94.8,Pass
9.9,47.4,Pass
11.4,77.7,Pass
11.8,98.0,Pass
2.7,45.4,Fail
1.6,43.6,Fail
11.3,56.2,Pass
11.5,96.5,Pass
1.6,97.3,Pass
2.1,50.9,Fail
1.2,46.2,Fail
6.9,62.3,Pass
1.8,93.8,Pass
4.5,76.3,Pass
1.5,95.9,Fail
6.2,91.1,Pass
3.2,41.9,Fail
2.6,83.1,Fail
11.9,50.8,Pass
9.5,66.7,Pass
8.1,87.7,Pass
4.6,47.9,Fail
10.1,61.3,Pass
4.3,68.6,Fail
10.9,90.7,Pass
5.4,47.8,Fail
9.8,51.4,Pass
0.8,67.2,Fail
11.9,80.2,Pass
2.4,66.3,Fail
0.9,74.3,Fail
0.3,52.2,Fail
1.9,78.3,Fail
4.7,92.5,Pass
10.6,89.2,Pass
1.2,60.0,Fail
3.2,75.4,Fail
8.8,81.3,Pass
7.1,46.6,Fail
6.9,96.6,Pass
3.9,66.6,Fail
8.4,77.9,Pass
6.4,52.3,Fail
8.5,49.5,Fail
10.2,74.6,Pass
10.4,83.9,Pass
8.3,91.8,Pass
11.4,72.3,Pass
7.9,89.8,Pass
9.1,96.5,Pass
5.7,43.6,Fail
0.6,95.5,Fail
10.9,86.6,Pass
6.8,41.5,Fail
4.8,43.2,Fail
6.2,49.7,Fail
1.0,67.4,Fail
5.4,82.3,Pass
9.6,87.8,Pass
0.6,50.1,Fail
4.0,75.9,Fail
3.5,50.1,Fail
11.9,82.1,Pass
8.3,88.0,Pass
7.6,91.7,Pass
8.5,50.1,Pass
6.9,51.5,Fail
9.9,66.7,Pass
8.5,99.7,Pass
3.7,69.2,Fail
1.7,72.8,Fail
5.7,89.7,Pass
11.9,52.2,Pass
0.8,82.4,Fail
2.6,78.2,Fail
9.0,97.4,Pass
6.3,53.2,Fail
2.6,44.2,Fail
8.9,78.0,Pass
1.5,50.3,Fail
5.9,72.6,Pass
6.9,92.1,Pass
6.2,61.6,Fail
3.0,50.5,Fail
5.3,41.3,Fail
3.9,43.6,Fail
7.4,88.3,Pass
7.2,53.5,Fail
3.2,53.8,Fail
1.6,46.7,Fail
1.0,98.3,Fail
8.9,46.7,Pass
2.4,70.5,Fail
10.8,46.0,Fail
7.0,71.5,Pass
1.0,62.2,Fail
7.1,59.0,Fail
0.5,93.5,Fail
0.9,57.5,Fail
6.5,42.9,Fail
7.8,72.2,Pass
2.9,63.5,Fail
3.4,89.6,Fail
5.7,93.8,Pass
3.3,61.9,Fail
9.0,61.9,Pass
8.3,89.8,Pass
3.4,81.2,Fail
0.6,67.0,Fail
0.9,55.9,Fail
8.0,66.0,Pass
4.6,73.8,Fail
10.3,87.6,Pass
6.7,62.4,Pass
10.0,95.5,Pass
10.9,53.1,Pass
5.0,78.8,Fail
7.7,98.0,Pass
9.9,49.5,Pass
3.0,62.2,Fail
12.0,55.9,Pass
7.3,98.3,Pass
1.4,46.0,Fail
5.7,45.5,Fail
2.3,42.5,Fail
5.6,85.3,Pass
4.6,44.2,Fail
8.2,55.7,Fail
7.6,95.8,Pass
11.1,99.6,Pass
2.2,68.0,Fail
5.8,89.0,Pass
9.8,55.3,Pass
0.9,47.1,Fail
7.0,41.4,Fail
5.0,94.3,Pass
10.0,85.1,Pass
9.3,76.0,Pass
5.1,49.2,Fail
6.2,65.9,Pass
2.1,94.7,Fail
1.2,73.8,Fail
5.9,68.8,Pass
10.9,44.3,Pass
11.2,49.1,Pass
5.6,41.9,Fail
6.1,52.5,Fail
2.5,80.0,Fail
0.9,81.1,Fail
11.9,42.5,Pass
3.8,65.0,Fail
0.6,77.8,Fail
10.3,46.1,Pass
6.6,41.9,Fail
6.0,63.4,Fail
1.2,53.9,Fail
1.6,85.4,Fail
9.8,86.3,Pass
4.7,98.5,Pass
7.6,89.7,Pass
0.5,81.7,Fail
2.6,69.6,Fail
3.2,52.2,Fail
9.8,90.6,Pass
5.3,95.3,Pass
6.7,41.3,Fail
2.6,79.5,Fail
7.5,59.2,Pass
1.0,88.3,Fail
11.6,85.3,Pass
5.8,79.5,Pass
9.0,72.3,Pass
9.6,96.4,Pass
3.1,99.6,Pass
4.4,72.8,Fail
5.5,56.5,Fail
9.6,85.8,Pass
11.2,56.0,Pass
8.3,77.5,Pass
11.0,73.8,Pass
1.3,61.5,Fail
8.6,67.5,Pass
4.0,69.1,Fail
5.9,77.4,Fail
2.6,71.5,Fail
7.1,84.0,Pass
10.9,86.1,Pass
6.8,88.3,Pass
3.4,69.9,Fail
0.6,70.2,Fail
10.4,72.4,Pass
4.5,44.3,Fail
6.5,76.6,Pass
11.7,58.1,Pass
8.8,81.2,Pass
0.5,87.8,Fail
3.8,61.2,Fail
10.7,73.3,Pass
8.0,41.6,Fail
5.4,42.9,Fail
3.4,47.7,Fail
4.4,79.7,Pass
3.8,87.2,Pass
1.2,52.0,Fail
1.7,77.6,Fail
9.7,86.6,Pass
1.6,83.4,Fail
8.0,97.5,Pass
5.6,98.1,Pass
4.1,57.7,Fail
5.2,70.3,Fail
6.0,95.8,Pass
3.0,95.0,Pass
9.5,95.0,Pass
3.7,40.0,Fail
7.9,63.3,Pass
9.6,74.2,Pass
5.0,51.0,Fail
8.7,69.7,Pass
7.9,96.2,Pass
1.1,86.2,Fail
6.8,70.4,Pass
7.7,64.0,Pass
11.2,90.4,Pass
8.8,57.4,Pass
0.0,74.0,Fail
10.9,72.5,Pass
7.3,85.4,Pass
7.6,55.3,Fail
0.9,50.7,Fail
1.6,86.9,Fail
4.6,50.8,Fail
10.5,90.2,Pass
4.6,90.1,Pass
4.1,94.0,Pass
0.7,44.1,Fail
9.3,66.3,Pass
1.6,76.3,Fail
4.3,52.7,Fail
10.0,72.0,Pass
6.7,82.6,Pass
0.1,98.0,Fail
0.6,83.4,Fail
4.4,76.0,Fail
8.9,80.4,Pass
5.7,95.2,Pass
0.1,45.3,Fail
2.7,53.8,Fail
7.8,93.3,Pass
4.2,70.0,Fail
7.2,83.7,Pass
0.2,59.0,Fail
8.2,98.1,Pass
8.3,74.1,Pass
2.0,74.3,Fail
5.5,53.0,Fail
4.0,56.1,Fail
0.2,51.2,Fail
8.0,52.1,Fail
8.1,90.0,Pass
11.3,85.1,Pass
9.5,66.2,Pass
0.3,40.8,Fail
7.7,56.3,Pass
0.8,92.5,Fail
1.1,89.7,Fail
5.2,66.2,Fail
11.1,85.5,Pass
5.5,50.5,Fail
10.3,78.0,Pass
5.4,99.1,Pass
6.2,79.7,Pass
3.1,77.7,Fail
9.2,58.3,Pass
8.3,71.7,Pass
7.0,56.0,Fail
5.4,57.6,Fail
2.5,52.4,Fail
4.5,84.9,Fail
1.0,81.5,Fail
9.6,41.3,Fail
7.2,53.3,Fail
2.4,46.5,Fail
0.6,64.2,Fail
2.1,57.0,Fail
2.7,92.2,Pass
1.4,79.6,Fail
0.1,64.1,Fail
3.8,47.4,Fail
2.5,84.1,Fail
1.0,73.2,Fail
8.9,84.7,Pass
4.6,83.2,Pass
6.6,76.6,Pass
5.2,59.0,Fail
3.4,59.3,Fail
1.0,92.0,Fail
11.6,54.7,Pass
10.7,66.7,Pass
9.3,63.2,Pass
0.1,91.8,Fail
9.4,98.9,Pass
7.1,46.7,Fail
5.8,46.1,Fail
4.1,62.3,Fail
11.9,95.3,Pass
10.2,62.9,Pass
6.9,42.5,Fail
0.7,75.3,Fail
0.7,78.8,Fail
4.2,86.9,Fail
2.3,64.8,Fail
9.8,52.4,Pass
9.4,67.8,Pass
1.8,61.1,Fail
9.4,99.9,Pass
6.0,85.5,Pass
3.1,81.9,Pass
2.7,91.6,Fail
2.3,62.6,Fail
5.8,60.7,Fail
5.6,73.6,Pass
10.7,47.4,Pass
11.5,76.4,Pass
9.7,93.2,Pass
5.4,90.5,Pass
5.4,98.0,Pass
5.2,65.5,Fail
9.2,46.6,Fail
5.1,97.6,Pass
3.5,59.1,Fail
0.1,81.9,Fail
3.5,78.8,Fail
7.6,53.4,Fail
10.3,56.6,Pass
6.7,91.5,Pass
9.5,60.2,Pass
10.7,44.5,Pass
5.6,63.1,Fail
9.7,94.3,Pass
11.2,91.8,Pass
8.3,94.8,Pass
0.8,64.0,Fail
0.3,46.7,Fail
8.2,41.1,Fail
7.3,62.9,Pass
1.1,48.4,Fail
8.2,77.1,Pass
2.4,47.7,Fail
3.5,65.0,Fail
0.0,59.3,Fail
1.2,95.8,Fail
3.5,56.2,Fail
10.4,78.2,Pass
7.2,41.8,Fail
11.4,92.9,Pass
1.5,82.8,Fail
2.9,57.4,Fail
2.9,49.2,Fail
3.9,77.3,Fail
2.8,75.3,Fail
8.0,73.3,Pass
2.5,44.8,Fail
8.5,59.9,Fail
0.4,91.3,Fail
2.6,87.4,Pass
0.7,51.0,Fail
9.3,56.0,Pass
4.0,63.0,Fail
6.9,78.0,Pass
11.0,80.2,Pass
4.4,98.2,Pass
0.4,80.2,Fail
8.7,73.4,Pass
4.5,47.9,Fail
6.1,47.9,Fail
7.6,78.3,Pass
5.6,45.2,Fail
3.6,94.4,Fail
9.7,78.6,Pass
7.2,44.0,Fail
8.5,42.4,Fail
10.9,97.8,Pass
9.9,59.0,Pass
3.1,43.8,Fail
0.7,53.1,Fail
4.5,68.9,Fail
4.4,68.1,Fail
5.4,83.4,Pass
10.8,56.7,Pass
11.1,54.0,Pass
8.7,79.8,Pass
11.8,67.9,Pass
6.0,83.2,Pass
9.7,66.5,Pass
5.1,79.6,Pass
9.1,95.0,Pass
4.5,50.3,Fail
5.2,97.4,Pass
9.5,75.2,Pass
5.8,79.8,Fail
4.5,87.9,Fail
0.2,53.3,Fail
3.4,71.4,Fail
5.2,95.1,Pass
9.1,66.4,Pass
9.6,52.4,Pass
1.6,67.3,Fail
8.1,61.8,Pass
6.9,75.4,Pass
5.0,47.5,Fail
3.9,57.0,Fail
5.0,46.5,Fail
4.8,63.1,Fail
6.0,93.8,Pass
9.8,90.7,Pass
0.2,49.3,Fail
10.4,68.0,Pass
7.1,87.4,Pass
6.7,51.5,Fail
6.0,52.6,Fail
10.5,56.9,Pass
6.8,40.1,Fail
11.8,50.9,Pass
0.5,93.6,Fail
7.4,84.9,Pass
10.6,50.7,Pass
7.8,46.7,Fail
2.5,47.1,Fail
1.5,57.7,Fail
8.4,57.0,Fail
1.1,58.7,Fail
1.7,99.6,Fail
10.0,43.4,Fail
0.6,72.0,Fail
10.2,61.9,Pass
4.7,71.3,Fail
4.0,78.5,Fail
2.4,60.2,Fail
4.5,95.2,Pass
3.2,68.3,Fail
1.7,72.6,Fail
1.3,53.6,Fail
8.6,42.9,Fail
6.9,90.8,Pass
9.4,60.3,Pass
8.1,82.8,Pass
3.1,82.2,Pass
6.4,81.6,Pass
3.5,63.7,Fail
1.4,62.1,Fail
6.1,71.1,Pass
9.0,84.2,Pass
1.3,48.2,Fail
5.0,81.9,Fail
2.6,84.6,Fail
3.2,73.3,Fail
3.1,69.8,Fail
11.3,54.7,Pass
10.7,64.6,Pass
3.5,95.7,Fail
3.2,55.9,Fail
11.8,66.4,Pass
7.8,40.4,Fail
4.0,51.3,Fail
2.6,93.2,Fail
5.3,57.7,Fail
4.2,41.5,Fail
9.7,81.3,Pass
5.2,77.1,Fail
7.6,90.2,Pass
6.3,81.6,Pass
4.9,46.7,Fail
7.8,96.4,Pass
6.9,94.5,Pass
8.1,78.7,Pass
6.5,80.9,Pass
2.6,40.7,Fail
2.0,47.1,Fail
10.7,93.0,Pass
8.8,57.4,Fail
7.4,56.5,Fail
8.7,40.2,Fail
2.2,57.2,Fail
8.9,78.5,Pass
3.8,72.4,Fail
5.2,88.7,Pass
9.1,54.8,Fail
9.5,53.4,Pass
5.0,76.6,Pass
2.7,44.3,Fail
2.7,73.6,Fail
10.4,77.9,Pass
4.3,52.1,Fail
2.2,43.9,Fail
