YearsExperience,Salary
12.1,60558.4
8.5,53394.08
14.7,70215.53
18.7,77632.21
18.5,74414.86
9.0,48362.05
2.3,36180.72
19.7,73889.3
16.8,57393.25
2.5,38432.8
18.4,80519.67
17.4,61685.34
10.4,50951.35
11.8,62595.77
8.0,60287.48
1.1,32853.97
6.7,43109.99
16.1,69335.52
0.1,37124.38
6.7,43520.18
8.0,46004.04
10.7,54336.28
18.4,71233.36
6.9,47863.35
6.9,55373.39
14.8,68615.4
9.0,51238.23
4.5,39790.94
9.0,44684.05
2.8,41415.55
3.5,38360.81
10.0,54097.6
8.4,66965.54
18.3,77243.76
7.2,44241.04
11.6,56868.21
12.6,67242.23
0.3,31316.35
13.3,56058.61
3.6,43596.14
19.2,74659.28
3.0,46866.49
8.3,56150.24
1.7,32013.39
19.9,86155.08
10.0,55339.28
11.9,64013.87
1.3,35673.66
15.0,63268.22
4.2,37282.25
18.0,80149.8
4.1,38576.12
3.8,37481.76
0.7,26974.39
9.4,55618.0
11.3,68562.62
1.3,27912.34
15.5,68871.1
9.1,59811.1
10.5,55851.79
8.8,54261.86
8.0,44688.03
11.2,60141.54
3.1,36814.28
3.6,43928.65
17.2,78936.93
18.9,90197.82
7.5,51648.17
5.4,45128.98
12.9,63221.92
8.2,48734.17
0.5,32942.42
3.1,36272.99
14.3,66592.3
13.2,69587.99
0.5,26217.29
4.4,46699.39
4.6,48085.58
13.4,62909.66
0.4,20390.73
2.1,32210.89
16.0,76484.97
3.6,38885.66
13.1,57753.49
4.8,39476.13
2.0,39203.1
4.9,44983.67
14.4,64805.34
17.1,70915.88
16.6,69541.21
7.9,45137.95
13.4,71576.88
4.1,38638.4
5.9,50835.79
17.9,82356.58
0.3,35741.55
1.7,32091.9
4.2,42518.65
0.5,31129.02
3.6,34481.49
11.7,60871.8
8.4,45104.8
17.9,80688.4
16.3,68426.91
6.8,48005.8
5.2,44416.44
7.6,47705.48
11.8,62433.47
5.4,41125.48
12.5,65606.49
8.2,43770.1
11.0,58131.9
8.7,61444.64
5.9,39748.34
19.0,74111.28
15.3,70819.54
2.8,37897.91
17.4,75253.15
9.7,56695.94
17.9,77923.61
16.0,75548.5
8.5,53299.09
0.4,29793.71
5.4,46862.87
10.8,66499.41
12.7,61086.83
5.2,38127.35
2.8,42535.4
16.7,71148.09
19.7,68386.65
10.5,60487.11
3.4,35823.36
5.4,43047.33
0.4,32659.9
18.3,76702.5
2.4,39547.26
11.5,56572.57
5.5,46315.53
11.1,56452.27
13.0,66194.05
16.6,74576.84
4.1,35572.81
0.2,35929.91
2.7,34070.18
18.0,79040.29
17.5,75586.44
11.9,68940.92
12.0,58882.67
13.3,61503.42
3.5,38652.9
18.3,74234.1
8.4,54999.71
7.7,41168.45
10.4,50731.59
0.9,26910.99
3.3,43001.54
14.8,75553.07
1.7,33727.75
12.1,59405.89
4.9,42600.26
7.8,55309.39
5.8,39863.23
7.1,48941.84
14.4,70875.99
5.9,47255.47
11.3,59197.91
9.5,58755.23
13.3,49733.84
18.7,80139.38
14.7,63479.62
4.3,31596.84
0.6,34056.01
5.2,49868.29
11.9,59062.76
1.0,37264.37
9.9,62811.39
11.9,66324.57
6.7,54949.82
15.4,72210.64
2.1,35627.17
1.5,25740.17
14.6,65269.69
9.9,50533.77
13.8,75354.71
8.7,50870.57
4.9,42866.02
16.4,73757.43
16.0,70218.01
13.9,73225.26
5.4,40386.75
11.8,60473.04
7.2,44287.65
1.8,27899.89
18.3,72691.15
2.7,36564.82
19.0,75353.49
8.9,48787.9
